city,t_01,t_10,t_mmtp,t_90,t_99,rr_01,rr_10,rr_mmtp,rr_90,rr_99
"Melbourne, Australia",7.7,10.2,18.6,22.4,29,1.14,1.106796117,1,1,1.01
"Sydney, Australia",10.4,12.8,21.6,23.7,27.2,1.3,1.203703704,1,1.019047619,1.07
"Brisbane, Australia",11.6,14.9,23.5,25.3,27.7,1.27,1.133928571,1,1.057692308,1.1
"Porto Alegre, Brazil",8.1,13.1,23.5,25.6,28.4,1.4,1.28440367,1,1.066037736,1.13
"Curitiba, Brazil",8.1,12.4,20.7,22.5,24.7,1.38,1.210526316,1,1.046728972,1.12
"Sap Paulo, Brazil",12,15.7,22.9,24.5,26.9,1.37,1.212389381,1,1.074074074,1.16
"Vitoria, Brazil",19.2,21.6,26.8,27.9,29.2,1.16,1.137254902,1,1.075471698,1.14
"Belo Horizonte, Brazil",16,18.7,23.8,25.2,27.3,1.12,1.087378641,1,1.092592593,1.18
"Goiania, Brazil",19.3,22.1,25.8,27,29.2,1.14,1.04587156,1,1.065420561,1.14
"Brasilia, Brazil",17,19,22.5,23.8,25.9,1.09,1.12371134,1,1.067307692,1.11
"Cuiaba, Brazil",17.1,23.1,28.1,29.3,31.3,1.25,1.126126126,1,1.009803922,1.03
"Salvador, Brazil",22.3,23.5,26.9,27.6,28.6,1.09,1.079207921,1,0.958762887,0.93
"Maceio, Brazil",22.1,23.3,26.2,27,27.9,1.17,1.093457944,1,1.009708738,1.04
"Recife, Brazil",22.9,24.1,27.1,27.7,28.7,0.94,0.949494949,1,0.989690722,0.96
"Joao Pessoa, Brazil",23.8,25,28,28.5,29.4,1.03,1,1,1.065420561,1.14
"Natal, Brazil",8.1,13.1,23.5,25.6,28.4,1.05,1.05,1,0.960784314,0.98
"Teresina, Brazil",24.4,25.5,28.6,29.8,31,1.28,1.196261682,1,1.081081081,1.2
"Fortaleza, Brazil",24.6,25.8,27.7,28.1,28.8,1.13,1.056074766,1,1,0.98
"Manaus, Brazil",23.9,25.3,28.2,29.2,31.1,1.18,1.063063063,1,1.047169811,1.11
"Sao Luis, Brazil",24.4,25.7,27.6,28,28.7,1.03,1.072916667,1,1.02970297,1.04
"Belem, Brazil",24.6,25.7,27.5,28,28.7,0.93,0.958762887,1,0.968085106,0.91
"Narathiwat, Thailand",21.8,25.3,29,29.8,31.1,1.06,0.972477064,1,0.990291262,1.02
"Yala, Thailand",25.3,26.3,28.3,28.7,29.7,0.99,1.042105263,1,0.978021978,0.89
"Pattani, Thailand",24.5,26.1,28.6,29.3,30.6,1.4,1.12,1,1.072072072,1.19
"Songkhla, Thailand",24.7,26.5,28.8,29.4,30.2,0.94,0.989473684,1,1.057692308,1.1
"Trang, Thailand",24.2,26.5,29.8,30.7,32,1.46,1.315315315,1,1.109090909,1.22
"Krabi, Thailand",24.9,26.2,28.6,29.4,30.7,1.22,0.960629921,1,1.071428571,1.2
"Nakhon si thammarat, Thailand",24.3,25.7,28.2,28.8,29.5,1.13,1.141414141,1,1.029411765,1.05
"Surat thani, Thailand",19.4,23.2,29.2,30.4,32.8,1.29,1.240384615,1,1.037735849,1.1
"Chumphon, Thailand",23.2,26.2,29.8,30.8,32.4,1.04,1.106382979,1,1.01010101,1
"Prachuap khiri khan, Thailand",24.2,26,28.9,29.5,30.6,1.08,1.113402062,1,1.01980198,1.03
"Chanthaburi, Thailand",23.4,25.4,28.4,29.1,30.1,1.38,1.131147541,1,0.979381443,0.95
"Rayong, Thailand",18.9,22.3,27.3,28.6,30.9,1.52,1.225806452,1,1.048076923,1.09
"Phetchaburi, Thailand",25.1,26.6,28.6,29.2,30.4,1.06,1.127659574,1,0.947916667,0.91
"Chon buri, Thailand",24.1,26.6,29.3,30,31,1.3,1.203703704,1,1.161016949,1.37
"Samutprakan, Thailand",23.7,26.4,29.4,30,31,1.3,1.181818182,1,1.019230769,1.06
"Ratchaburi, Thailand",19,22.7,28.6,29.8,32.3,1.45,1.239316239,1,1.072727273,1.18
"Samut sakhon, Thailand",23,25.7,29.4,30.1,31.2,1.55,1.383928571,1,0.989795918,0.97
"Chachoengsao, Thailand",17.6,21.8,28.3,29.3,31.1,1.5,1.209677419,1,1.019047619,1.07
"Bangkok, Thailand",24.1,27.1,30.3,31.2,32.6,1.19,1.144230769,1,1.074766355,1.15
"Sa kaeo, Thailand",22.8,25.3,28.8,29.6,30.8,1.4,1.272727273,1,1.038461538,1.08
"Nonthaburi, Thailand",21.1,24.7,29.3,30.4,32.5,1.17,1.103773585,1,1.091743119,1.19
"Nakhon pathom, Thailand",21.1,24.6,29.5,30.5,32.6,1.33,1.198198198,1,1.02,1.02
"Pathum thani, Thailand",18.6,22.4,29,30.3,32.7,1.02,0.962264151,1,1,0.99
"Kanchanaburi, Thailand",21.8,25.1,29.9,30.9,32.5,1.43,1.311926606,1,1.098214286,1.23
"Prachin buri, Thailand",25.6,27,29.1,29.8,30.9,1.35,1.163793103,1,1.018691589,1.09
"Ayutthaya, Thailand",22.2,25.4,29.7,30.7,32.5,1.44,1.2,1,1.047169811,1.11
"Suphanburi, Thailand",22.1,25.2,29.4,30.4,31.9,1.35,1.310679612,1,1.341085271,1.73
"Saraburi, Thailand",20.9,24.6,29.4,30.4,32.5,1.5,1.094890511,1,0.99047619,1.04
"Lop buri, Thailand",24.4,25.7,28.2,28.8,29.8,1.1,1,1,0.957446809,0.9
"Surin, Thailand",20,23.4,29.2,30.4,32.3,1.31,1.139130435,1,1.080357143,1.21
"Nakhon ratchasima, Thailand",20,23.5,28.8,29.6,31.2,1.25,1.201923077,1,1.066037736,1.13
"Buri ram, Thailand",19.4,22.6,28.7,29.7,31.4,1.07,1.080808081,1,1.156521739,1.33
"Si sa ket, Thailand",19.9,23.1,29,30.3,32.2,1.17,1.063636364,1,0.957894737,0.91
"Ubon ratchathani, Thailand",20.5,23.9,29.1,30.4,32.6,1.26,1.145454545,1,1.056074766,1.13
"Nakhon sawan, Thailand",22.1,25.6,29.8,31.1,33.2,1.46,1.177419355,1,1.087719298,1.24
"Yasothon, Thailand",17.3,21,28.1,29.1,31.4,1.33,1.198198198,1,1.047619048,1.1
"Chaiyaphum, Thailand",20.5,24.2,29.3,30.5,32.7,1.12,1.066666667,1,0.945652174,0.87
"Amnat charoen, Thailand",24.5,26,28.3,29,30,1.2,1.153846154,1,0.97,0.97
"Roi et, Thailand",19.1,22.8,29,30.3,32.4,1.35,1.205357143,1,1.019047619,1.07
"Maha sarakham, Thailand",23.3,26.5,30,30.9,32.2,1.31,1.212962963,1,1.081081081,1.2
"Phetchabun, Thailand",24.5,25.6,27.9,28.6,29.3,1.22,1.119266055,1,1.095238095,1.15
"Kalasin, Thailand",19.7,23.5,29.6,30.7,33,1.09,1.068627451,1,0.97979798,0.97
"Khon kaen, Thailand",19.3,23.1,28.9,30.2,32.8,1.19,1.091743119,1,1.076190476,1.13
"Phichit, Thailand",23,25.8,28.8,29.6,31.1,1.24,1.148148148,1,1.064220183,1.16
"Mukdahan, Thailand",24.7,26,28.6,29.4,30.9,1.14,0.982758621,1,0.971153846,1.01
"Kamphaeng phet, Thailand",17.7,21.6,28.4,29.7,32,1.29,1.14159292,1,1.204918033,1.47
"Phitsanulok, Thailand",22.6,25.7,29.5,30.4,31.8,1.28,1.163636364,1,1.056074766,1.13
"Tak, Thailand",24.8,26.4,28.8,29.5,30.4,0.99,1.087912088,1,1.095652174,1.26
"Sukhothai, Thailand",22.3,25.5,29.6,30.7,32.5,1.24,1.05982906,1,1.13559322,1.34
"Sakon nakhon, Thailand",17.6,21.6,28.5,29.8,32.6,1.22,1.184466019,1,1.109090909,1.22
"Nong bua lam phu, Thailand",21.4,24.8,29.7,30.9,32.8,1.14,1.065420561,1,1.047169811,1.11
"Nakhon phanom, Thailand",24.3,26.2,28.7,29.2,30.1,0.89,0.87254902,1,1.030927835,1
"Udon Thani, Thailand",18.5,22.5,29.2,30.5,33,1.37,1.234234234,1,1.028037383,1.1
"Uttaradit, Thailand",19,22.8,29.2,30.7,33.2,1.22,1.016666667,1,1.097345133,1.24
"Nong khai, Thailand",20.9,24.5,29.5,30.4,32,1.13,1.046296296,1,1,1.01
"Phrae, Thailand",21.8,25.2,29.5,30.4,31.9,1.13,1.066037736,1,0.978947368,0.93
"Lampang, Thailand",21.6,24.9,29.3,30.4,32.6,1.21,1.052173913,1,1.122807018,1.28
"Lamphun, Thailand",18.8,22.1,27.9,29.1,32,1.7,1.428571429,1,1.081081081,1.2
"Nan, Thailand",19,22.2,28.6,29.8,32.6,1.46,1.20661157,1,1.1,1.21
"Chiang mai, Thailand",19.5,22.4,28.1,29.1,31.1,1.29,1.14159292,1,1,1.01
"Phayao, Thailand",19.5,23.1,29,30.2,32.7,1.34,1.13559322,1,0.98019802,0.99
"Chiang rai, Thailand",16.9,20.5,27.4,28.3,29.7,1.28,1.185185185,1,1.029126214,1.06
"Hong Kong, China",11.3,16.1,27.8,29.4,30.5,1.36,1.214285714,1,1.019607843,1.04
