lucode,code,nlcd,lulc_desc,notes,bioregion,bio_desc,nlud_simple,nlud_simple_class,nlud_simple_subclass,fertilizer,pesticide,irrigation,planting_diversity,mowing,public_access,green_space,building_type,tree,tree_canopy_percentage,tree_canopy_cover,tree_canopy_colors,shade,kc,albedo,green_area,building_intensity
0,1110,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,1.0,0.056353535,0,0.0
1,1111,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,1.00058899045,0.0690509204,0,0.0
2,1112,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,1.0015706412,0.09021322939999998,0,0.0
3,1113,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,1.00259155798,0.11222203075999998,1,0.0
4,1120,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.0,0.8,0,0.0
5,1121,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.15058899045,0.70115041565,0,0.0
6,1122,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.4015706412,0.5364011084,0,0.0
7,1123,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.66259155798,0.36506182885999994,1,0.0
8,1210,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.516019507,0.160666667,0,0.0
9,1211,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.5892055714,0.1577170826,0,0.0
10,1212,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.7111823454,0.15280110859999999,0,0.0
11,1213,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.83803819036,0.14768849563999997,1,0.0
12,1220,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.429568656,0.227898551,0,0.33
13,1221,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.51572234805,0.214864184,0,0.33
14,1222,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.6593118348,0.193140239,0,0.33
15,1223,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.80864490102,0.17054733619999998,1,0.33
16,1230,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.327539141,0.208190217,0,0.66
17,1231,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.42899726029999996,0.19811210010000002,0,0.66
18,1232,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.5980941258,0.18131523859999998,0,0.66
19,1233,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.77395486592,0.16384650264,1,0.66
20,1240,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.178906654,0.161841892,0,1.0
21,1241,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.30265964635,0.15871602385,0,1.0
22,1242,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.5089146336,0.15350624359999998,0,1.0
23,1243,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.72341982034,0.14808807213999997,1,1.0
24,1310,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.613452222,0.231965986,0,0.0
25,1311,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.67202337915,0.21832150375,0,0.0
26,1312,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.7696419744,0.1955807,0,0.0
27,1313,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.87116531346,0.17193026409999998,1,0.0
28,1410,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,1.0,1.003926603,0.141895445,1,0.0
29,1411,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,1.0,1.003926603,0.141895445,1,0.0
30,1412,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,1.0,1.003926603,0.141895445,1,0.0
31,1413,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,1.0,1.003926603,0.141895445,1,0.0
32,1420,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,1.0,1.003926603,0.140110097,1,0.0
33,1421,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,1.0,1.003926603,0.140110097,1,0.0
34,1422,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,1.0,1.003926603,0.140110097,1,0.0
35,1423,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,1.0,1.003926603,0.140110097,1,0.0
36,1430,43,Mixed Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,1.0,1.003926603,0.141002771,1,0.0
37,1431,43,Mixed Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,1.0,1.003926603,0.141002771,1,0.0
38,1432,43,Mixed Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,1.0,1.003926603,0.141002771,1,0.0
39,1433,43,Mixed Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,1.0,1.003926603,0.141002771,1,0.0
40,1520,52,Shrub/Scrub,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.967734818,0.188666667,1,0.0
41,1521,52,Shrub/Scrub,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.97316358575,0.18151708260000002,1,0.0
42,1522,52,Shrub/Scrub,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.982211532,0.1696011086,1,0.0
43,1523,52,Shrub/Scrub,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.9916213961,0.15720849564,1,0.0
44,1710,71,Herbaceuous,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.931543033,0.192887681,1,0.0
45,1711,71,Herbaceuous,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.9424005684999999,0.1851049445,1,0.0
