,lucode,lulc_desc,shade,kc,albedo,green_area,building_intensity,bioregion,bio_desc
136,0,Background,0,0.0,0.0,0,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
137,11,Open Water,0,1.0,0.056353535,0,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
138,12,Perennial Ice/Snow,0,0.0,0.8,0,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
139,21,"Developed, Open Space",0,0.516019507,0.160666667,0,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
140,22,"Developed, Low Intensity",0,0.429568656,0.227898551,0,0.33,NA24,Appalachia & Allegheny Interior Forests (NA24)
141,23,"Developed, Medium Intensity",0,0.327539141,0.208190217,0,0.66,NA24,Appalachia & Allegheny Interior Forests (NA24)
142,24,"Developed, High Intensity",0,0.178906654,0.161841892,0,1.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
143,31,Barren Land,0,0.613452222,0.231965986,0,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
144,41,Deciduous Forest,1,1.003926603,0.141895445,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
145,42,Evergreen Forest,1,1.003926603,0.140110097,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
146,43,Mixed Forest,1,1.003926603,0.141002771,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
147,52,Shrub/Scrub,0,0.967734818,0.188666667,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
148,71,Herbaceuous,0,0.931543033,0.192887681,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
149,81,Hay/Pasture,0,0.931543033,0.170985145,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
150,82,Cultivated Crops,0,0.717213727,0.160713043,0,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
151,90,Woody Wetlands,1,1.1,0.1605,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
152,95,Emergent Herbaceuous Wetlands,0,1.1,0.141963768,1,0.0,NA24,Appalachia & Allegheny Interior Forests (NA24)
