lucode,code,nlud_simple_class,nlud_simple_subclass,simple_nlud,nlcd,nlcd_lulc,nlcd_colors,tree,tree_canopy_cover,tree_colors,LULC_name,C_above,C_below,C_soil,C_dead,C_embedded,C_emissions
0,001110,Waterbody,Natural,1,11,Open Water,#476BA0,0,none,#ffffff,Open Water,0.0,0.0,0.0,0.0,0.0,0.0
1,001111,Waterbody,Natural,1,11,Open Water,#476BA0,1,low,#e5f5e0,Open Water,14.1669974265,0.0,15.567988547999999,1.5999999999999999,0.0,0.0
2,001112,Waterbody,Natural,1,11,Open Water,#476BA0,2,medium,#a1d99b,Open Water,37.778659804,0.0,41.51463612800001,4.266666666666667,0.0,0.0
3,001113,Waterbody,Natural,1,11,Open Water,#476BA0,3,high,#31a354,Open Water,62.334788676600006,0.0,68.49914961120001,7.04,0.0,0.0
4,001120,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,Perennial Ice/Snow,0.0,0.0,0.0,0.0,0.0,0.0
5,001121,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,Perennial Ice/Snow,14.1669974265,0.0,15.567988547999999,1.5999999999999999,0.0,0.0
6,001122,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,Perennial Ice/Snow,37.778659804,0.0,41.51463612800001,4.266666666666667,0.0,0.0
7,001123,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,Perennial Ice/Snow,62.334788676600006,0.0,68.49914961120001,7.04,0.0,0.0
8,001210,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,"Developed, Open Space",52.88965238,3.4,100.9862746,4.4,0.0,0.325
9,001211,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,"Developed, Open Space",59.1232019495,2.8899999999999997,101.406321958,5.34,0.0,0.325
10,001212,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,"Developed, Open Space",69.512451232,2.04,102.106400888,6.906666666666666,0.0,0.325
11,001213,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,"Developed, Open Space",80.31727048580001,1.156,102.83448297520002,8.536,0.0,0.325
12,001220,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,"Developed, Low Intensity",187.4518556,2.933333333,78.01443599,17.4800813,707.7,122.611568
13,001221,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,"Developed, Low Intensity",173.50107468649998,2.4933333330500003,81.8802591395,16.458069105,707.7,122.611568
14,001222,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,"Developed, Low Intensity",150.24977316399998,1.7599999998,88.323297722,14.754715446666665,707.7,122.611568
15,001223,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,3,high,#31a354,"Developed, Low Intensity",126.0684195806,0.99733333322,95.02405784780001,12.983227642,707.7,122.611568
16,001230,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,"Developed, Medium Intensity",171.9014141,2.933333333,77.1556028,17.26341463,636.5666667,480.4527055
17,001231,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,"Developed, Medium Intensity",160.2831994115,2.4933333330500003,81.15025092799999,16.2739024355,636.5666667,480.4527055
18,001232,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,"Developed, Medium Intensity",140.919508264,1.7599999998,87.80799780800001,14.624715444666666,636.5666667,480.4527055
19,001233,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,"Developed, Medium Intensity",120.7812694706,0.99733333322,94.73205456320001,12.9095609742,636.5666667,480.4527055
20,001240,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,"Developed, High Intensity",142.4575121,2.933333333,78.85237525,17.2800813,1627.85,860.1464445
21,001241,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,"Developed, High Intensity",135.2558827115,2.4933333330500003,82.5925075105,16.288069104999998,1627.85,860.1464445
22,001242,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,"Developed, High Intensity",123.253167064,1.7599999998,88.826061278,14.634715446666664,1627.85,860.1464445
23,001243,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,3,high,#31a354,"Developed, High Intensity",110.77034279060001,0.99733333322,95.3089571962,12.915227642,1627.85,860.1464445
24,001310,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,Barren Land,6.8,0.0,25.5,0.0,0.0,0.0
25,001311,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,Barren Land,19.946997426499998,0.0,37.242988548,1.5999999999999999,0.0,0.0
26,001312,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,Barren Land,41.858659804,0.0,56.814636128000004,4.266666666666667,0.0,0.0
27,001313,Waterbody,Natural,1,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,Barren Land,64.64678867660001,0.0,77.16914961120001,7.04,0.0,0.0
28,001410,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,0,none,#ffffff,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
29,001411,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
30,001412,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
31,001413,Waterbody,Natural,1,41,Deciduous Forest,#68AA63,3,high,#31a354,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
32,001420,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,0,none,#ffffff,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
33,001421,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
34,001422,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
35,001423,Waterbody,Natural,1,42,Evergreen Forest,#1C6330,3,high,#31a354,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
36,001430,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,0,none,#ffffff,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
37,001431,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,1,low,#e5f5e0,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
38,001432,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,2,medium,#a1d99b,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
39,001433,Waterbody,Natural,1,43,Mixed Forest,#B5C98E,3,high,#31a354,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
40,001510,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
41,001511,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
42,001512,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
43,001513,Waterbody,Natural,1,51,Dwarf Scrub,#A58C30,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
44,001520,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,0,none,#ffffff,Shrub/Scrub,47.875,0.0,68.15477645,0.0,0.0,0.0
45,001521,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,1,low,#e5f5e0,Shrub/Scrub,54.8607474265,0.0,73.4995485305,1.5999999999999999,0.0,0.0
46,001522,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,2,medium,#a1d99b,Shrub/Scrub,66.503659804,0.0,82.40750199800001,4.266666666666667,0.0,0.0
47,001523,Waterbody,Natural,1,52,Scrub/Shrub,#CCBA7C,3,high,#31a354,Shrub/Scrub,78.6122886766,0.0,91.67177360420001,7.04,0.0,0.0
48,001710,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,0,none,#ffffff,Herbaceuous,10.10660117,8.0,98.79264417,0.0,0.0,0.0
49,001711,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,1,low,#e5f5e0,Herbaceuous,22.757608421,6.8,99.5417360925,1.5999999999999999,0.0,0.0
50,001712,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,2,medium,#a1d99b,Herbaceuous,43.842620506,4.8,100.79022263,4.266666666666667,0.0,0.0
51,001713,Waterbody,Natural,1,71,Grassland/Herbaceous,#E2E2C1,3,high,#31a354,Herbaceuous,65.77103307440001,2.7199999999999998,102.088648629,7.04,0.0,0.0
52,001720,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
53,001721,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
54,001722,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
55,001723,Waterbody,Natural,1,72,Sedge/Herbaceuous,#C9C977,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
56,001730,Waterbody,Natural,1,73,Lichens,#99C147,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
57,001731,Waterbody,Natural,1,73,Lichens,#99C147,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
58,001732,Waterbody,Natural,1,73,Lichens,#99C147,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
59,001733,Waterbody,Natural,1,73,Lichens,#99C147,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
60,001740,Waterbody,Natural,1,74,Moss,#77AD93,0,none,#ffffff,,0.0,0.0,0.0,0.0,0.0,0.0
61,001741,Waterbody,Natural,1,74,Moss,#77AD93,1,low,#e5f5e0,,0.0,0.0,0.0,0.0,0.0,0.0
62,001742,Waterbody,Natural,1,74,Moss,#77AD93,2,medium,#a1d99b,,0.0,0.0,0.0,0.0,0.0,0.0
63,001743,Waterbody,Natural,1,74,Moss,#77AD93,3,high,#31a354,,0.0,0.0,0.0,0.0,0.0,0.0
64,001810,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,0,none,#ffffff,Hay/Pasture,10.10660117,8.0,98.79264417,0.0,0.0,0.0
65,001811,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,1,low,#e5f5e0,Hay/Pasture,22.757608421,6.8,99.5417360925,1.5999999999999999,0.0,0.0
66,001812,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,2,medium,#a1d99b,Hay/Pasture,43.842620506,4.8,100.79022263,4.266666666666667,0.0,0.0
67,001813,Waterbody,Natural,1,81,Pasture/Hay,#DBD83D,3,high,#31a354,Hay/Pasture,65.77103307440001,2.7199999999999998,102.088648629,7.04,0.0,0.0
68,001820,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,0,none,#ffffff,Cultivated Crops,4.793840162,0.0,65.75263422,0.0,0.0,0.0
69,001821,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,1,low,#e5f5e0,Cultivated Crops,18.2417615642,0.0,71.457727635,1.5999999999999999,0.0,0.0
70,001822,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,2,medium,#a1d99b,Cultivated Crops,40.6549639012,0.0,80.96621666000001,4.266666666666667,0.0,0.0
71,001823,Waterbody,Natural,1,82,Cultivated Crops,#AA7028,3,high,#31a354,Cultivated Crops,63.96469433168001,0.0,90.855045246,7.04,0.0,0.0
72,001900,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,0,none,#ffffff,Woody Wetlands,33.5,0.0,716.9138542,0.0,0.0,0.0
73,001901,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,1,low,#e5f5e0,Woody Wetlands,42.6419974265,0.0,624.9447646179999,1.5999999999999999,0.0,0.0
74,001902,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,2,medium,#a1d99b,Woody Wetlands,57.878659803999994,0.0,471.66294864799994,4.266666666666667,0.0,0.0
75,001903,Waterbody,Natural,1,90,Woody Wetlands,#BAD8EA,3,high,#31a354,Woody Wetlands,73.7247886766,0.0,312.2498600392,7.04,0.0,0.0
76,001950,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,0,none,#ffffff,Emergent Herbaceuous Wetlands,33.5,0.0,716.9138542,0.0,0.0,0.0
77,001951,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,1,low,#e5f5e0,Emergent Herbaceuous Wetlands,42.6419974265,0.0,624.9447646179999,1.5999999999999999,0.0,0.0
78,001952,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,2,medium,#a1d99b,Emergent Herbaceuous Wetlands,57.878659803999994,0.0,471.66294864799994,4.266666666666667,0.0,0.0
79,001953,Waterbody,Natural,1,95,Emergent Herbaceous Wetlands,#70A3BA,3,high,#31a354,Emergent Herbaceuous Wetlands,73.7247886766,0.0,312.2498600392,7.04,0.0,0.0
80,002110,Waterbody,Wetland,2,11,Open Water,#476BA0,0,none,#ffffff,Open Water,0.0,0.0,0.0,0.0,0.0,0.0
81,002111,Waterbody,Wetland,2,11,Open Water,#476BA0,1,low,#e5f5e0,Open Water,14.1669974265,0.0,15.567988547999999,1.5999999999999999,0.0,0.0
82,002112,Waterbody,Wetland,2,11,Open Water,#476BA0,2,medium,#a1d99b,Open Water,37.778659804,0.0,41.51463612800001,4.266666666666667,0.0,0.0
83,002113,Waterbody,Wetland,2,11,Open Water,#476BA0,3,high,#31a354,Open Water,62.334788676600006,0.0,68.49914961120001,7.04,0.0,0.0
84,002120,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,Perennial Ice/Snow,0.0,0.0,0.0,0.0,0.0,0.0
85,002121,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,Perennial Ice/Snow,14.1669974265,0.0,15.567988547999999,1.5999999999999999,0.0,0.0
86,002122,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,Perennial Ice/Snow,37.778659804,0.0,41.51463612800001,4.266666666666667,0.0,0.0
87,002123,Waterbody,Wetland,2,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,Perennial Ice/Snow,62.334788676600006,0.0,68.49914961120001,7.04,0.0,0.0
88,002210,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,"Developed, Open Space",52.88965238,3.4,100.9862746,4.4,0.0,0.325
89,002211,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,"Developed, Open Space",59.1232019495,2.8899999999999997,101.406321958,5.34,0.0,0.325
90,002212,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,"Developed, Open Space",69.512451232,2.04,102.106400888,6.906666666666666,0.0,0.325
91,002213,Waterbody,Wetland,2,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,"Developed, Open Space",80.31727048580001,1.156,102.83448297520002,8.536,0.0,0.325
92,002220,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,"Developed, Low Intensity",187.4518556,2.933333333,78.01443599,17.4800813,707.7,122.611568
93,002221,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,"Developed, Low Intensity",173.50107468649998,2.4933333330500003,81.8802591395,16.458069105,707.7,122.611568
94,002222,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,"Developed, Low Intensity",150.24977316399998,1.7599999998,88.323297722,14.754715446666665,707.7,122.611568
95,002223,Waterbody,Wetland,2,22,"Developed, Low Intensity",#D89382,3,high,#31a354,"Developed, Low Intensity",126.0684195806,0.99733333322,95.02405784780001,12.983227642,707.7,122.611568
96,002230,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,"Developed, Medium Intensity",171.9014141,2.933333333,77.1556028,17.26341463,636.5666667,480.4527055
97,002231,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,"Developed, Medium Intensity",160.2831994115,2.4933333330500003,81.15025092799999,16.2739024355,636.5666667,480.4527055
98,002232,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,"Developed, Medium Intensity",140.919508264,1.7599999998,87.80799780800001,14.624715444666666,636.5666667,480.4527055
99,002233,Waterbody,Wetland,2,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,"Developed, Medium Intensity",120.7812694706,0.99733333322,94.73205456320001,12.9095609742,636.5666667,480.4527055
100,002240,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,"Developed, High Intensity",142.4575121,2.933333333,78.85237525,17.2800813,1627.85,860.1464445
101,002241,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,"Developed, High Intensity",135.2558827115,2.4933333330500003,82.5925075105,16.288069104999998,1627.85,860.1464445
102,002242,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,2,medium,#a1d99b,"Developed, High Intensity",123.253167064,1.7599999998,88.826061278,14.634715446666664,1627.85,860.1464445
103,002243,Waterbody,Wetland,2,24,"Developed, High Intensity",#AA0000,3,high,#31a354,"Developed, High Intensity",110.77034279060001,0.99733333322,95.3089571962,12.915227642,1627.85,860.1464445
104,002310,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,0,none,#ffffff,Barren Land,6.8,0.0,25.5,0.0,0.0,0.0
105,002311,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,1,low,#e5f5e0,Barren Land,19.946997426499998,0.0,37.242988548,1.5999999999999999,0.0,0.0
106,002312,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,2,medium,#a1d99b,Barren Land,41.858659804,0.0,56.814636128000004,4.266666666666667,0.0,0.0
107,002313,Waterbody,Wetland,2,31,Barren Land (Rock/Sand/Clay),#B2ADA3,3,high,#31a354,Barren Land,64.64678867660001,0.0,77.16914961120001,7.04,0.0,0.0
108,002410,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,0,none,#ffffff,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
109,002411,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,1,low,#e5f5e0,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
110,002412,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,2,medium,#a1d99b,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
111,002413,Waterbody,Wetland,2,41,Deciduous Forest,#68AA63,3,high,#31a354,Deciduous Forest,85.88498714,0.0,96.08994273,8.8,0.0,0.0
112,002420,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,0,none,#ffffff,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
113,002421,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,1,low,#e5f5e0,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
114,002422,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,2,medium,#a1d99b,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
115,002423,Waterbody,Wetland,2,42,Evergreen Forest,#1C6330,3,high,#31a354,Evergreen Forest,105.6849871,0.0,96.08994273,14.4,0.0,0.0
116,002430,Waterbody,Wetland,2,43,Mixed Forest,#B5C98E,0,none,#ffffff,Mixed Forest,91.76997429,0.0,119.1798855,8.8,0.0,0.0
