lucode,code,nlud_simple_class,nlud_simple_subclass,simple_nlud,nlcd,nlcd_lulc,nlcd_colors,tree,tree_canopy_cover,tree_colors,urban_nature,search_radius_m
0,001110,Waterbody,Natural,1,11,Open Water,#476BA0,0,none,#ffffff,0,2230
1,001111,Waterbody,Natural,1,11,Open Water,#476BA0,1,low,#e5f5e0,0,2230
2,001112,Waterbody,Natural,1,11,Open Water,#476BA0,2,medium,#a1d99b,0,2230
3,001113,Waterbody,Natural,1,11,Open Water,#476BA0,3,high,#31a354,1,2230
4,001120,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,0,none,#ffffff,0,2230
5,001121,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,1,low,#e5f5e0,0,2230
6,001122,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,2,medium,#a1d99b,0,2230
7,001123,Waterbody,Natural,1,12,Perennial Ice/Snow,#D1DDF9,3,high,#31a354,1,2230
8,001210,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,0,none,#ffffff,0,2230
9,001211,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,1,low,#e5f5e0,0,2230
10,001212,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,2,medium,#a1d99b,0,2230
11,001213,Waterbody,Natural,1,21,"Developed, Open Space",#DDC9C9,3,high,#31a354,1,2230
12,001220,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,0,none,#ffffff,0,2230
13,001221,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,1,low,#e5f5e0,0,2230
14,001222,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,2,medium,#a1d99b,0,2230
15,001223,Waterbody,Natural,1,22,"Developed, Low Intensity",#D89382,3,high,#31a354,1,2230
16,001230,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,0,none,#ffffff,0,2230
17,001231,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,1,low,#e5f5e0,0,2230
18,001232,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,2,medium,#a1d99b,0,2230
19,001233,Waterbody,Natural,1,23,"Developed, Medium Intensity",#ED0000,3,high,#31a354,1,2230
20,001240,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,0,none,#ffffff,0,2230
21,001241,Waterbody,Natural,1,24,"Developed, High Intensity",#AA0000,1,low,#e5f5e0,0,2230
